#;Empresa;Ticker;Indice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
268;JD.com;JD;Nasdaq 100;Consumo discrecional;4,86;1,74;46745000000,0;34906000000,0;-15132334754,0;2,22;1,53;10,42;3,84;42619000000,0;39506000000,0;-3690628404,0;3,95;3,18;17,28;5,92;58650000000,0;44276000000,0;15272474533,0;5,47;4,7;8,72;2,82;15075000000,0;4807000000,0;-5426734643,0;2,89;2,15;8,72;2,82;15075000000,0;4807000000,0;-5426734643,0;2,89;2,15
269;NetEase;NTES;Nasdaq 100;Entretenimiento;19,42;11,77;31184805000,0;25065749000,0;6281163201,0;23,3;20,34;23,67;15,82;36405086000,0;31055398000,0;13318806217,0;29,73;26,78;21,41;15,15;36651158000,0;37470425000,0;13354551265,0;30,39;28,1;21,06;15,25;42645123000,0;48687335000,0;17016591073,0;33,81;31,82;21,06;15,25;42645123000,0;48687335000,0;17016591073,0;33,81;31,82
270;Shopify;SHOP;Nasdaq 100;Tecnologia;-42,0;-32,17;-186000000,0;-186000000,0;-1448171637,0;-10,61;-12,27;1,46;1,17;905000000,0;905000000,0;-779280000,0;2,04;1,05;17,47;14,5;1597000000,0;1597000000,0;222424452,0;15,07;14,66;9,14;8,1;2007000000,0;2007000000,0;433970285,0;16,58;16,31;9,14;8,1;2007000000,0;2007000000,0;433970285,0;16,58;16,31
271;Thomson Reuters;TRI;Nasdaq 100;Medios;11,26;6,16;1320000000,0;1320000000,0;656022478,0;45,42;34,5;24,36;14,42;1797000000,0;1797000000,0;522207223,0;43,42;32,75;18,41;11,99;1850000000,0;1850000000,0;894735180,0;42,05;30,72;12,61;8,37;2017000000,0;2017000000,0;496214664,0;40,76;28,32;12,61;8,37;2017000000,0;2017000000,0;496214664,0;40,76;28,32
272;Trip.com;TCOM;Nasdaq 100;Consumo discrecional;1,25;0,73;-4637000000,0;2143000000,0;-7361018824,0;27,15;20,7;8,12;4,53;20333000000,0;21398000000,0;-1079773820,0;31,0;28,64;11,97;7,04;12968000000,0;19034000000,0;2382605714,0;37,24;35,16;19,48;12,45;4463000000,0;13582000000,0;18617476624,0;65,36;63,61;19,48;12,45;4463000000,0;13582000000,0;18617476624,0;65,36;63,61
273;Rivian;RIVN;Nasdaq 100;Automocion;-48,93;-37,77;-6421000000,0;-6421000000,0;-7877221055,0;-361,46;-400,78;-59,42;-32,38;-2697000000,0;-5892000000,0;-6353320508,0;-96,39;-117,52;-72,38;-30,8;-1857000000,0;-2857000000,0;-5471055372,0;-68,25;-88,99;-79,85;-24,53;-2489000000,0;-2489000000,0;-4234134144,0;-47,56;-62,11;-79,85;-24,53;-2489000000,0;-2489000000,0;-4234134144,0;-47,56;-62,11
274;AbbVie;ABBV;S&P 100;Salud;68,6;8,53;11815000000,0;24248000000,0;5063597706,0;41,64;27,06;46,94;3,61;17913000000,0;22062000000,0;-1142591680,0;31,61;15,6;128,66;3,17;25182000000,0;17832000000,0;-2189681206,0;26,47;11,58;-129,24;3,15;17512000000,0;17816000000,0;-1164371223,0;28,82;15,52;-129,24;3,15;17512000000,0;17816000000,0;-1164371223,0;28,82;15,52
275;Abbott Laboratories;ABT;S&P 100;Salud;18,9;9,31;7058000000,0;7804000000,0;2682841377,0;27,79;20,31;14,83;7,82;2563000000,0;5059000000,0;1520211471,0;26,29;18,2;28,12;16,46;5914000000,0;6351000000,0;298440000,0;25,72;18,05;12,51;7,52;5896000000,0;7395000000,0;1286551647,0;27,24;20,21;12,51;7,52;5896000000,0;7395000000,0;1286551647,0;27,24;20,21
276;Accenture;ACN;S&P 100;Tecnologia;31,11;14,55;8823131000,0;8823131000,0;;;;26,75;13,41;9096096000,0;8996096000,0;;;;25,68;12,99;9442305000,0;8614518000,0;;;;24,61;11,74;15003560000,0;10874360000,0;;;;24,61;11,74;15003560000,0;10874360000,0;;;
277;Adobe;ADBE;S&P 100;Tecnologia;33,85;17,51;7396000000,0;7396000000,0;3321700453,0;39,62;34,76;32,86;18,23;6442000000,0;6942000000,0;3795973855,0;40,11;35,61;39,42;18,39;9870000000,0;7873000000,0;4118850625,0;37,0;33,02;61,34;24,17;10349000000,0;9852000000,0;5801020023,0;41,29;37,85;61,34;24,17;10349000000,0;9852000000,0;5801020023,0;41,29;37,85
278;American Tower;AMT;S&P 100;Real Estate;31,69;2,63;-2290500000,0;1822600000,0;-1662836955,0;68,19;33,4;35,33;2,25;1641000000,0;2924300000,0;-1957986389,0;59,97;29,14;66,67;3,69;1781200000,0;3700500000,0;200925866,0;70,64;49,66;69,25;4,0;3411400000,0;3783600000,0;-699860541,0;60,55;41,37;69,25;4,0;3411400000,0;3783600000,0;-699860541,0;60,55;41,37
279;Bank of America;BAC;S&P 100;Financiero;10,08;0,9;25528000000,0;-6327000000,0;;;;9,02;0,83;65807000000,0;44982000000,0;;;;9,18;0,83;-22533000000,0;-8805000000,0;;;;10,06;0,89;36449000000,0;12613000000,0;;;;10,06;0,89;36449000000,0;12613000000,0;;;
280;BNY Mellon;BK;S&P 100;Financiero;6,27;0,63;19651000000,0;13722000000,0;;;;8,1;0,81;5120000000,0;4692000000,0;;;;10,96;1,09;-1008000000,0;-782000000,0;;;;12,52;1,17;5405000000,0;5177000000,0;;;;12,52;1,17;5405000000,0;5177000000,0;;;
281;BlackRock;BLK;S&P 100;Financiero;13,72;4,4;3647000000,0;4423000000,0;-4144400763,0;38,72;36,38;13,98;4,47;5000000000,0;3821000000,0;-3850038910,0;44,09;41,7;13,41;4,59;9117000000,0;4701000000,0;-4031962435,0;45,88;43,28;9,94;3,27;3724000000,0;3552000000,0;-7039786082,0;38,65;34,0;9,94;3,27;3724000000,0;3552000000,0;-7039786082,0;38,65;34,0
282;Bristol-Myers Squibb;BMY;S&P 100;Salud;20,37;6,53;6637000000,0;11948000000,0;1364088915,0;41,64;19,38;27,27;8,43;13107000000,0;12651000000,0;3318979336,0;43,03;21,34;-54,78;-9,66;24038000000,0;13942000000,0;-11513051113,0;6,56;-13,32;38,19;7,83;7670000000,0;12845000000,0;3156733379,0;31,6;23,28;38,19;7,83;7670000000,0;12845000000,0;3156733379,0;31,6;23,28
283;Berkshire Hathaway B;BRK-B;S&P 100;Financiero;-4,81;-2,4;30653000000,0;21886000000,0;;-6,51;-11,17;17,14;8,99;26293000000,0;29787000000,0;;31,33;28,49;13,7;7,71;12855000000,0;11616000000,0;;30,27;27,24;9,33;5,48;27190000000,0;25042000000,0;;24,6;21,32;9,33;5,48;27190000000,0;25042000000,0;;24,6;21,32
